EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_CENSUS_METROPOLITAN_AREA	FR_RÉGION_MÉTROPOLITAINE_DE_RECENSEMENT	TOTAL
2024	Q2	Jun	2024	T2	juin	Manitoba	Manitoba	Winnipeg	Winnipeg	430
2018	Q3	Sep	2018	T3	sept.	Saskatchewan	Saskatchewan	Saskatoon	Saskatoon	40
2015	Q4	Oct	2015	T4	oct.	Ontario	Ontario	Kingston	Kingston	10
2022	Q3	Aug	2022	T3	août	Prince Edward Island	Île-du-Prince-Édouard	Charlottetown	Charlottetown	150
2020	Q2	May	2020	T2	mai	Nova Scotia	Nouvelle-Écosse	Kentville	Kentville	--
2019	Q4	Dec	2019	T4	déc.	Ontario	Ontario	Ottawa - Gatineau (Ontario part)	Ottawa - Gatineau (partie de l'Ontario)	245
2020	Q3	Sep	2020	T3	sept.	Ontario	Ontario	Hamilton	Hamilton	45
2023	Q2	Apr	2023	T2	avr.	British Columbia	Colombie-Britannique	Chilliwack	Chilliwack	20
2017	Q1	Mar	2017	T1	mars	Quebec	Québec	Val-d'Or	Val-d'Or	--
2025	Q2	Jun	2025	T2	juin	British Columbia	Colombie-Britannique	Chilliwack	Chilliwack	--
2025	Q1	Jan	2025	T1	janv.	Manitoba	Manitoba	Steinbach	Steinbach	5
2019	Q3	Sep	2019	T3	sept.	British Columbia	Colombie-Britannique	Prince Rupert	Prince Rupert	--
2020	Q2	May	2020	T2	mai	British Columbia	Colombie-Britannique	Salmon Arm	Salmon Arm	--
2022	Q1	Mar	2022	T1	mars	Ontario	Ontario	Woodstock	Woodstock	--
2020	Q1	Jan	2020	T1	janv.	Ontario	Ontario	Woodstock	Woodstock	10
2022	Q3	Jul	2022	T3	juil.	Alberta	Alberta	Camrose	Camrose	--
2021	Q2	Apr	2021	T2	avr.	British Columbia	Colombie-Britannique	Cranbrook	Cranbrook	--
2015	Q3	Sep	2015	T3	sept.	Alberta	Alberta	Lethbridge	Lethbridge	10
2025	Q1	Mar	2025	T1	mars	British Columbia	Colombie-Britannique	Powell River	Powell River	--
2017	Q3	Aug	2017	T3	août	Northwest Territories	Territoires du Nord-Ouest	Territories (outside Census agglomeration, Northwest Territories)	Territoires (à l'extérieur des agglomérations de recensement, Territoires du Nord-Ouest)	--
2016	Q4	Dec	2016	T4	déc.	Alberta	Alberta	Other - Alberta	Autres - Alberta	10
2026	Q1	Jan	2026	T1	janv.	Alberta	Alberta	High River	High River	--
2018	Q2	May	2018	T2	mai	Quebec	Québec	Rivière-du-Loup	Rivière-du-Loup	--
2025	Q3	Jul	2025	T3	juil.	Nova Scotia	Nouvelle-Écosse	New Glasgow	New Glasgow	--
2023	Q3	Sep	2023	T3	sept.	Ontario	Ontario	Kingston	Kingston	60
2019	Q3	Sep	2019	T3	sept.	British Columbia	Colombie-Britannique	Dawson Creek	Dawson Creek	15
2017	Q2	Jun	2017	T2	juin	Ontario	Ontario	St. Catharines - Niagara	St. Catharines - Niagara	50
2025	Q1	Feb	2025	T1	fév.	Prince Edward Island	Île-du-Prince-Édouard	Charlottetown	Charlottetown	30
2019	Q1	Feb	2019	T1	fév.	Prince Edward Island	Île-du-Prince-Édouard	Summerside	Summerside	5
2020	Q2	May	2020	T2	mai	Quebec	Québec	Sherbrooke	Sherbrooke	20
2018	Q2	Apr	2018	T2	avr.	Alberta	Alberta	Other - Alberta	Autres - Alberta	10
2019	Q1	Mar	2019	T1	mars	British Columbia	Colombie-Britannique	Victoria	Victoria	35
2018	Q3	Sep	2018	T3	sept.	British Columbia	Colombie-Britannique	Chilliwack	Chilliwack	--
2025	Q3	Sep	2025	T3	sept.	British Columbia	Colombie-Britannique	Fort St. John	Fort St. John	5
2023	Q2	May	2023	T2	mai	British Columbia	Colombie-Britannique	Kamloops	Kamloops	90
2021	Q4	Dec	2021	T4	déc.	Quebec	Québec	Saint-Hyacinthe	Saint-Hyacinthe	--
2016	Q4	Nov	2016	T4	nov.	Manitoba	Manitoba	Winnipeg	Winnipeg	195
2019	Q1	Mar	2019	T1	mars	Quebec	Québec	Montréal	Montréal	450
2022	Q1	Feb	2022	T1	fév.	Ontario	Ontario	Greater Sudbury	Grand Sudbury	25
2024	Q3	Aug	2024	T3	août	British Columbia	Colombie-Britannique	Kelowna	Kelowna	55
2021	Q2	Apr	2021	T2	avr.	Ontario	Ontario	Port Hope	Port Hope	--
2018	Q1	Mar	2018	T1	mars	Saskatchewan	Saskatchewan	Saskatoon	Saskatoon	20
2019	Q1	Feb	2019	T1	fév.	Alberta	Alberta	Calgary	Calgary	65
2023	Q3	Jul	2023	T3	juil.	British Columbia	Colombie-Britannique	Williams Lake	Williams Lake	5
2022	Q4	Dec	2022	T4	déc.	Manitoba	Manitoba	Steinbach	Steinbach	--
2022	Q3	Jul	2022	T3	juil.	British Columbia	Colombie-Britannique	Vernon	Vernon	15
2024	Q4	Nov	2024	T4	nov.	Quebec	Québec	Other - Quebec	Autres - Québec	240
2022	Q1	Mar	2022	T1	mars	Alberta	Alberta	Red Deer	Red Deer	--
2016	Q2	May	2016	T2	mai	Saskatchewan	Saskatchewan	Saskatoon	Saskatoon	30
2019	Q2	Apr	2019	T2	avr.	Quebec	Québec	Other - Quebec	Autres - Québec	100
2022	Q2	May	2022	T2	mai	British Columbia	Colombie-Britannique	Nanaimo	Nanaimo	5
2020	Q2	Apr	2020	T2	avr.	British Columbia	Colombie-Britannique	Vancouver	Vancouver	1400
2024	Q1	Feb	2024	T1	fév.	Ontario	Ontario	Kingston	Kingston	90
2023	Q2	May	2023	T2	mai	Northwest Territories	Territoires du Nord-Ouest	Yellowknife	Yellowknife	15
2018	Q3	Aug	2018	T3	août	Ontario	Ontario	Peterborough	Peterborough	20
2019	Q4	Dec	2019	T4	déc.	Quebec	Québec	Other - Quebec	Autres - Québec	95
2023	Q4	Dec	2023	T4	déc.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Other - Newfoundland and Labrador	Autres - Terre-Neuve-et-Labrador	15
2020	Q2	Apr	2020	T2	avr.	Quebec	Québec	Montréal	Montréal	535
2015	Q1	Jan	2015	T1	janv.	Ontario	Ontario	Toronto	Toronto	290
2022	Q3	Jul	2022	T3	juil.	Ontario	Ontario	Woodstock	Woodstock	5
2022	Q1	Jan	2022	T1	janv.	Ontario	Ontario	Oshawa	Oshawa	50
2019	Q3	Jul	2019	T3	juil.	Quebec	Québec	Joliette	Joliette	--
2024	Q1	Feb	2024	T1	fév.	Quebec	Québec	Amos	Amos	--
2024	Q4	Oct	2024	T4	oct.	Nova Scotia	Nouvelle-Écosse	Other - Nova Scotia	Autres - Nouvelle-Écosse	30
2022	Q2	Apr	2022	T2	avr.	British Columbia	Colombie-Britannique	Dawson Creek	Dawson Creek	--
2018	Q2	Jun	2018	T2	juin	Ontario	Ontario	North Bay	North Bay	--
2024	Q2	Apr	2024	T2	avr.	Quebec	Québec	Joliette	Joliette	--
2022	Q1	Feb	2022	T1	fév.	British Columbia	Colombie-Britannique	Vernon	Vernon	--
2020	Q1	Jan	2020	T1	janv.	Ontario	Ontario	North Bay	North Bay	--
2021	Q1	Jan	2021	T1	janv.	Quebec	Québec	Saint-Georges	Saint-Georges	--
2018	Q4	Oct	2018	T4	oct.	Ontario	Ontario	Brockville	Brockville	--
2018	Q3	Sep	2018	T3	sept.	British Columbia	Colombie-Britannique	Duncan	Duncan	--
2019	Q3	Sep	2019	T3	sept.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Corner Brook	Corner Brook	--
2017	Q2	Apr	2017	T2	avr.	Ontario	Ontario	St. Catharines - Niagara	St. Catharines - Niagara	15
2016	Q1	Jan	2016	T1	janv.	Ontario	Ontario	Thunder Bay	Thunder Bay	5
2017	Q2	May	2017	T2	mai	Saskatchewan	Saskatchewan	North Battleford	North Battleford	--
2018	Q4	Oct	2018	T4	oct.	Ontario	Ontario	Timmins	Timmins	--
2021	Q1	Jan	2021	T1	janv.	Prince Edward Island	Île-du-Prince-Édouard	Summerside	Summerside	10
2025	Q2	Jun	2025	T2	juin	British Columbia	Colombie-Britannique	Dawson Creek	Dawson Creek	--
2024	Q1	Jan	2024	T1	janv.	Alberta	Alberta	Sylvan Lake	Sylvan Lake	--
2025	Q3	Jul	2025	T3	juil.	British Columbia	Colombie-Britannique	Powell River	Powell River	--
2023	Q4	Nov	2023	T4	nov.	Quebec	Québec	Amos	Amos	--
2020	Q4	Dec	2020	T4	déc.	Saskatchewan	Saskatchewan	Swift Current	Swift Current	--
2016	Q4	Dec	2016	T4	déc.	Alberta	Alberta	High River	High River	--
2017	Q1	Feb	2017	T1	fév.	British Columbia	Colombie-Britannique	Cranbrook	Cranbrook	--
2023	Q2	Jun	2023	T2	juin	Alberta	Alberta	Okotoks	Okotoks	--
2017	Q4	Dec	2017	T4	déc.	British Columbia	Colombie-Britannique	Vernon	Vernon	--
2023	Q3	Sep	2023	T3	sept.	Ontario	Ontario	Cobourg	Cobourg	--
2024	Q3	Aug	2024	T3	août	Prince Edward Island	Île-du-Prince-Édouard	Other - Prince Edward Island	Autres - Île-du-Prince-Édouard	--
2019	Q4	Oct	2019	T4	oct.	Alberta	Alberta	Camrose	Camrose	--
2019	Q4	Nov	2019	T4	nov.	Quebec	Québec	Sainte-Marie	Sainte-Marie	--
2020	Q4	Oct	2020	T4	oct.	Ontario	Ontario	Hawkesbury (Ontario part)	Hawkesbury (partie de l'Ontario)	--
2021	Q2	May	2021	T2	mai	British Columbia	Colombie-Britannique	Duncan	Duncan	--
2020	Q2	Apr	2020	T2	avr.	Manitoba	Manitoba	Thompson	Thompson	--
2019	Q2	May	2019	T2	mai	Ontario	Ontario	Essa	Essa	--
2017	Q3	Aug	2017	T3	août	Ontario	Ontario	Midland	Midland	--
2021	Q3	Aug	2021	T3	août	Ontario	Ontario	Ingersoll	Ingersoll	--
2019	Q4	Dec	2019	T4	déc.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Gander	Gander	--
2024	Q3	Aug	2024	T3	août	British Columbia	Colombie-Britannique	Port Alberni	Port Alberni	--
2022	Q4	Nov	2022	T4	nov.	Ontario	Ontario	Orillia	Orillia	--
2017	Q2	May	2017	T2	mai	British Columbia	Colombie-Britannique	Courtenay	Courtenay	--
2025	Q4	Oct	2025	T4	oct.	British Columbia	Colombie-Britannique	Salmon Arm	Salmon Arm	--
2025	Q3	Sep	2025	T3	sept.	Ontario	Ontario	Hawkesbury (Ontario part)	Hawkesbury (partie de l'Ontario)	--
2022	Q3	Aug	2022	T3	août	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Gander	Gander	--
2019	Q1	Feb	2019	T1	fév.	British Columbia	Colombie-Britannique	Nelson	Nelson	--
2025	Q2	Apr	2025	T2	avr.	British Columbia	Colombie-Britannique	Quesnel	Quesnel	--
2018	Q4	Oct	2018	T4	oct.	Ontario	Ontario	Orillia	Orillia	--
2020	Q3	Aug	2020	T3	août	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Other - Newfoundland and Labrador	Autres - Terre-Neuve-et-Labrador	--
2025	Q1	Feb	2025	T1	fév.	Quebec	Québec	Val-d'Or	Val-d'Or	--
2022	Q4	Dec	2022	T4	déc.	Saskatchewan	Saskatchewan	Lloydminster (Saskatchewan part)	Lloydminster (partie de la Saskatchewan)	--
2017	Q1	Mar	2017	T1	mars	British Columbia	Colombie-Britannique	Abbotsford - Mission	Abbotsford - Mission	20
2022	Q3	Sep	2022	T3	sept.	Alberta	Alberta	Lethbridge	Lethbridge	25
2024	Q3	Sep	2024	T3	sept.	Ontario	Ontario	Kawartha Lakes	Kawartha Lakes	20
2016	Q3	Aug	2016	T3	août	Ontario	Ontario	Hamilton	Hamilton	95
2019	Q2	Jun	2019	T2	juin	British Columbia	Colombie-Britannique	Other - British Columbia	Autres - Colombie-Britannique	75
2022	Q1	Mar	2022	T1	mars	Ontario	Ontario	Belleville - Quinte West	Belleville - Quinte West	5
2020	Q2	Apr	2020	T2	avr.	Ontario	Ontario	North Bay	North Bay	15
2023	Q1	Jan	2023	T1	janv.	Prince Edward Island	Île-du-Prince-Édouard	Charlottetown	Charlottetown	75
2015	Q4	Dec	2015	T4	déc.	Quebec	Québec	Saguenay	Saguenay	5
2020	Q4	Oct	2020	T4	oct.	British Columbia	Colombie-Britannique	Vernon	Vernon	10
2025	Q4	Oct	2025	T4	oct.	Ontario	Ontario	Timmins	Timmins	15
2024	Q1	Feb	2024	T1	fév.	British Columbia	Colombie-Britannique	Prince Rupert	Prince Rupert	5
2018	Q2	Jun	2018	T2	juin	Ontario	Ontario	Thunder Bay	Thunder Bay	10
2021	Q1	Feb	2021	T1	fév.	New Brunswick	Nouveau-Brunswick	Saint John	Saint John	15
2024	Q2	May	2024	T2	mai	Saskatchewan	Saskatchewan	Regina	Regina	80
2021	Q4	Nov	2021	T4	nov.	Ontario	Ontario	Guelph	Guelph	70
2021	Q2	Jun	2021	T2	juin	Prince Edward Island	Île-du-Prince-Édouard	Charlottetown	Charlottetown	75
2023	Q3	Jul	2023	T3	juil.	Province/Territory not stated	Province/territoire non déclaré(e)	Census metropolitan area not stated	Région métropolitaine de recensement non déclarée	45
2021	Q4	Dec	2021	T4	déc.	Alberta	Alberta	Calgary	Calgary	85
2024	Q1	Feb	2024	T1	fév.	British Columbia	Colombie-Britannique	Victoria	Victoria	190
2021	Q4	Dec	2021	T4	déc.	Alberta	Alberta	Edmonton	Edmonton	135
2021	Q4	Oct	2021	T4	oct.	Quebec	Québec	Ottawa - Gatineau (Quebec part)	Ottawa - Gatineau (partie du Québec)	30
2017	Q1	Feb	2017	T1	fév.	Ontario	Ontario	Barrie	Barrie	10
2025	Q2	Apr	2025	T2	avr.	Manitoba	Manitoba	Brandon	Brandon	15
2023	Q3	Sep	2023	T3	sept.	British Columbia	Colombie-Britannique	Kelowna	Kelowna	60
2025	Q3	Aug	2025	T3	août	Manitoba	Manitoba	Other - Manitoba	Autres - Manitoba	20
2025	Q2	May	2025	T2	mai	New Brunswick	Nouveau-Brunswick	Fredericton	Fredericton	10
2015	Q2	Apr	2015	T2	avr.	British Columbia	Colombie-Britannique	Victoria	Victoria	10
2017	Q4	Oct	2017	T4	oct.	British Columbia	Colombie-Britannique	Courtenay	Courtenay	5
2025	Q2	May	2025	T2	mai	Nova Scotia	Nouvelle-Écosse	Halifax	Halifax	110
2018	Q2	Apr	2018	T2	avr.	Ontario	Ontario	Hamilton	Hamilton	60
2022	Q2	Apr	2022	T2	avr.	Ontario	Ontario	Sault Ste. Marie	Sault Ste. Marie	--
2017	Q1	Jan	2017	T1	janv.	Ontario	Ontario	Barrie	Barrie	10
2021	Q1	Feb	2021	T1	fév.	Manitoba	Manitoba	Other - Manitoba	Autres - Manitoba	25
2024	Q4	Dec	2024	T4	déc.	Quebec	Québec	Sherbrooke	Sherbrooke	20
2022	Q4	Dec	2022	T4	déc.	Ontario	Ontario	Woodstock	Woodstock	10
2021	Q1	Jan	2021	T1	janv.	Alberta	Alberta	Edmonton	Edmonton	320
2016	Q1	Jan	2016	T1	janv.	Manitoba	Manitoba	Brandon	Brandon	--
2023	Q3	Jul	2023	T3	juil.	Ontario	Ontario	Guelph	Guelph	65
2023	Q3	Jul	2023	T3	juil.	Ontario	Ontario	Kingston	Kingston	130
2015	Q2	May	2015	T2	mai	Alberta	Alberta	Edmonton	Edmonton	65
2024	Q1	Jan	2024	T1	janv.	Ontario	Ontario	Greater Sudbury	Grand Sudbury	80
2025	Q2	Jun	2025	T2	juin	British Columbia	Colombie-Britannique	Kamloops	Kamloops	50
2024	Q3	Sep	2024	T3	sept.	Manitoba	Manitoba	Other - Manitoba	Autres - Manitoba	20
2020	Q1	Jan	2020	T1	janv.	Saskatchewan	Saskatchewan	Regina	Regina	50
2023	Q3	Aug	2023	T3	août	Ontario	Ontario	Wasaga Beach	Wasaga Beach	--
2024	Q3	Sep	2024	T3	sept.	Ontario	Ontario	London	Londres	455
2022	Q3	Jul	2022	T3	juil.	New Brunswick	Nouveau-Brunswick	Bathurst	Bathurst	--
2016	Q4	Nov	2016	T4	nov.	Nova Scotia	Nouvelle-Écosse	Truro	Truro	--
2026	Q1	Jan	2026	T1	janv.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Gander	Gander	15
2017	Q3	Jul	2017	T3	juil.	Ontario	Ontario	Barrie	Barrie	15
2021	Q2	May	2021	T2	mai	British Columbia	Colombie-Britannique	Vancouver	Vancouver	955
2017	Q2	May	2017	T2	mai	British Columbia	Colombie-Britannique	Victoria	Victoria	35
2017	Q4	Oct	2017	T4	oct.	Northwest Territories	Territoires du Nord-Ouest	Yellowknife	Yellowknife	--
2020	Q2	Jun	2020	T2	juin	Ontario	Ontario	Toronto	Toronto	1905
2021	Q4	Oct	2021	T4	oct.	Manitoba	Manitoba	Brandon	Brandon	15
2019	Q3	Jul	2019	T3	juil.	New Brunswick	Nouveau-Brunswick	Saint John	Saint John	10
2019	Q1	Mar	2019	T1	mars	Ontario	Ontario	Chatham-Kent	Chatham-Kent	--
2015	Q3	Sep	2015	T3	sept.	Quebec	Québec	Other - Quebec	Autres - Québec	55
2019	Q1	Feb	2019	T1	fév.	Ontario	Ontario	Kitchener - Cambridge - Waterloo	Kitchener - Cambridge - Waterloo	75
2025	Q1	Feb	2025	T1	fév.	Ontario	Ontario	Brockville	Brockville	5
2024	Q2	Apr	2024	T2	avr.	Ontario	Ontario	Barrie	Barrie	70
2025	Q3	Jul	2025	T3	juil.	Ontario	Ontario	Oshawa	Oshawa	85
2025	Q1	Jan	2025	T1	janv.	Saskatchewan	Saskatchewan	North Battleford	North Battleford	10
2023	Q3	Aug	2023	T3	août	Quebec	Québec	Rivière-du-Loup	Rivière-du-Loup	10
2025	Q2	Jun	2025	T2	juin	Saskatchewan	Saskatchewan	Regina	Regina	65
2018	Q2	Apr	2018	T2	avr.	Ontario	Ontario	Thunder Bay	Thunder Bay	10
2024	Q4	Dec	2024	T4	déc.	British Columbia	Colombie-Britannique	Campbell River	Campbell River	5
2018	Q4	Nov	2018	T4	nov.	Ontario	Ontario	Owen Sound	Owen Sound	--
2021	Q3	Sep	2021	T3	sept.	New Brunswick	Nouveau-Brunswick	Saint John	Saint John	100
2023	Q1	Jan	2023	T1	janv.	Quebec	Québec	Other - Quebec	Autres - Québec	180
2020	Q1	Feb	2020	T1	fév.	British Columbia	Colombie-Britannique	Squamish	Squamish	--
2023	Q3	Jul	2023	T3	juil.	Quebec	Québec	Québec	Québec	20
2021	Q1	Jan	2021	T1	janv.	New Brunswick	Nouveau-Brunswick	Moncton	Moncton	65
2024	Q3	Jul	2024	T3	juil.	Ontario	Ontario	Oshawa	Oshawa	405
2025	Q2	Jun	2025	T2	juin	Quebec	Québec	Saguenay	Saguenay	20
2021	Q2	Jun	2021	T2	juin	Ontario	Ontario	Brantford	Brantford	75
2019	Q4	Nov	2019	T4	nov.	Manitoba	Manitoba	Other - Manitoba	Autres - Manitoba	15
2017	Q3	Jul	2017	T3	juil.	British Columbia	Colombie-Britannique	Nanaimo	Nanaimo	10
2018	Q2	Jun	2018	T2	juin	Saskatchewan	Saskatchewan	North Battleford	North Battleford	--
2019	Q3	Aug	2019	T3	août	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Other - Newfoundland and Labrador	Autres - Terre-Neuve-et-Labrador	5
2020	Q4	Dec	2020	T4	déc.	Alberta	Alberta	Other - Alberta	Autres - Alberta	40
2019	Q2	Jun	2019	T2	juin	British Columbia	Colombie-Britannique	Victoria	Victoria	105
2024	Q4	Dec	2024	T4	déc.	Manitoba	Manitoba	Other - Manitoba	Autres - Manitoba	25
2021	Q3	Aug	2021	T3	août	Ontario	Ontario	Collingwood	Collingwood	15
2019	Q4	Nov	2019	T4	nov.	British Columbia	Colombie-Britannique	Victoria	Victoria	80
2021	Q2	Apr	2021	T2	avr.	Ontario	Ontario	St. Catharines - Niagara	St. Catharines - Niagara	25
2019	Q4	Oct	2019	T4	oct.	New Brunswick	Nouveau-Brunswick	Other - New Brunswick	Autres - Nouveau-Brunswick	5
2017	Q4	Nov	2017	T4	nov.	Ontario	Ontario	Ottawa - Gatineau (Ontario part)	Ottawa - Gatineau (partie de l'Ontario)	140
2020	Q4	Dec	2020	T4	déc.	British Columbia	Colombie-Britannique	Vernon	Vernon	10
2020	Q3	Sep	2020	T3	sept.	Quebec	Québec	Drummondville	Drummondville	--
2024	Q2	Apr	2024	T2	avr.	Quebec	Québec	Trois-Rivières	Trois-Rivières	5
2025	Q1	Jan	2025	T1	janv.	Ontario	Ontario	Essa	Essa	--
2017	Q2	Jun	2017	T2	juin	Ontario	Ontario	Kingston	Kingston	5
2020	Q1	Jan	2020	T1	janv.	Saskatchewan	Saskatchewan	Moose Jaw	Moose Jaw	--
2023	Q2	May	2023	T2	mai	Quebec	Québec	Rivière-du-Loup	Rivière-du-Loup	--
2023	Q2	Apr	2023	T2	avr.	Alberta	Alberta	Medicine Hat	Medicine Hat	15
2021	Q1	Mar	2021	T1	mars	Ontario	Ontario	Kawartha Lakes	Kawartha Lakes	5
2016	Q4	Oct	2016	T4	oct.	Alberta	Alberta	Lethbridge	Lethbridge	--
2021	Q2	Apr	2021	T2	avr.	Alberta	Alberta	Sylvan Lake	Sylvan Lake	--
2025	Q2	May	2025	T2	mai	Yukon	Yukon	Whitehorse	Whitehorse	--
2016	Q4	Dec	2016	T4	déc.	Yukon	Yukon	Whitehorse	Whitehorse	--
2016	Q3	Aug	2016	T3	août	British Columbia	Colombie-Britannique	Prince George	Prince George	--
2021	Q2	Apr	2021	T2	avr.	Ontario	Ontario	Cornwall	Cornwall	--
2023	Q3	Sep	2023	T3	sept.	Quebec	Québec	Drummondville	Drummondville	--
2025	Q4	Oct	2025	T4	oct.	Alberta	Alberta	Canmore	Canmore	--
2021	Q3	Sep	2021	T3	sept.	Nunavut	Nunavut	Territories (outside Census agglomeration, Nunavut)	Territoires (à l'extérieur des agglomérations de recensement, Nunavut)	--
2021	Q3	Aug	2021	T3	août	New Brunswick	Nouveau-Brunswick	Campbellton (New Brunswick part)	Campbellton (partie du Nouveau-Brunswick)	--
2016	Q2	Jun	2016	T2	juin	British Columbia	Colombie-Britannique	Campbell River	Campbell River	--
2015	Q1	Mar	2015	T1	mars	Ontario	Ontario	Brockville	Brockville	--
2025	Q4	Dec	2025	T4	déc.	Ontario	Ontario	Hawkesbury (Ontario part)	Hawkesbury (partie de l'Ontario)	--
2025	Q2	Jun	2025	T2	juin	Alberta	Alberta	Canmore	Canmore	--
2018	Q1	Jan	2018	T1	janv.	Ontario	Ontario	Greater Sudbury	Grand Sudbury	5
2019	Q1	Feb	2019	T1	fév.	Ontario	Ontario	Kenora	Kenora	--
2020	Q1	Feb	2020	T1	fév.	Ontario	Ontario	Brantford	Brantford	--
2021	Q3	Sep	2021	T3	sept.	Nova Scotia	Nouvelle-Écosse	New Glasgow	New Glasgow	--
2018	Q4	Nov	2018	T4	nov.	New Brunswick	Nouveau-Brunswick	Miramichi	Miramichi	--
2019	Q2	Apr	2019	T2	avr.	Ontario	Ontario	Owen Sound	Owen Sound	--
2022	Q1	Feb	2022	T1	fév.	Manitoba	Manitoba	Winkler	Winkler	--
2018	Q2	Jun	2018	T2	juin	Quebec	Québec	Thetford Mines	Thetford Mines	--
2025	Q1	Feb	2025	T1	fév.	Northwest Territories	Territoires du Nord-Ouest	Territories (outside Census agglomeration, Northwest Territories)	Territoires (à l'extérieur des agglomérations de recensement, Territoires du Nord-Ouest)	--
2022	Q2	May	2022	T2	mai	Ontario	Ontario	Collingwood	Collingwood	--
2020	Q2	Jun	2020	T2	juin	British Columbia	Colombie-Britannique	Port Alberni	Port Alberni	--
2019	Q2	Jun	2019	T2	juin	Ontario	Ontario	Sault Ste. Marie	Sault Ste. Marie	--
2018	Q4	Dec	2018	T4	déc.	Manitoba	Manitoba	Thompson	Thompson	--
2017	Q1	Feb	2017	T1	fév.	Quebec	Québec	Rimouski	Rimouski	--
2015	Q3	Aug	2015	T3	août	Quebec	Québec	Rivière-du-Loup	Rivière-du-Loup	--
2025	Q4	Nov	2025	T4	nov.	Ontario	Ontario	Petawawa	Petawawa	--
2016	Q2	May	2016	T2	mai	British Columbia	Colombie-Britannique	Cranbrook	Cranbrook	--
2022	Q2	May	2022	T2	mai	Alberta	Alberta	Okotoks	Okotoks	--
2020	Q3	Sep	2020	T3	sept.	New Brunswick	Nouveau-Brunswick	Saint John	Saint John	--
2020	Q3	Sep	2020	T3	sept.	Ontario	Ontario	Kawartha Lakes	Kawartha Lakes	--
2017	Q4	Dec	2017	T4	déc.	Ontario	Ontario	Orillia	Orillia	--
2025	Q4	Dec	2025	T4	déc.	Ontario	Ontario	Centre Wellington	Centre Wellington	--
2017	Q1	Feb	2017	T1	fév.	Saskatchewan	Saskatchewan	Lloydminster (Saskatchewan part)	Lloydminster (partie de la Saskatchewan)	--
2023	Q1	Jan	2023	T1	janv.	British Columbia	Colombie-Britannique	Cranbrook	Cranbrook	--
2019	Q2	Jun	2019	T2	juin	Alberta	Alberta	Lacombe	Lacombe	--
2017	Q1	Mar	2017	T1	mars	Quebec	Québec	Sept-Îles	Sept-Îles	--
2018	Q4	Oct	2018	T4	oct.	New Brunswick	Nouveau-Brunswick	Miramichi	Miramichi	--
2021	Q3	Aug	2021	T3	août	Quebec	Québec	Baie-Comeau	Baie-Comeau	--
2022	Q4	Dec	2022	T4	déc.	Quebec	Québec	Amos	Amos	--
2024	Q4	Dec	2024	T4	déc.	Ontario	Ontario	St. Catharines - Niagara	St. Catharines - Niagara	125
2021	Q2	Apr	2021	T2	avr.	Ontario	Ontario	Guelph	Guelph	25
2019	Q3	Aug	2019	T3	août	Ontario	Ontario	Brantford	Brantford	15
2022	Q1	Feb	2022	T1	fév.	Ontario	Ontario	Peterborough	Peterborough	20
2023	Q1	Jan	2023	T1	janv.	British Columbia	Colombie-Britannique	Campbell River	Campbell River	5
2025	Q1	Mar	2025	T1	mars	Ontario	Ontario	Stratford	Stratford	--
2017	Q4	Dec	2017	T4	déc.	Ontario	Ontario	Sault Ste. Marie	Sault Ste. Marie	--
2018	Q3	Jul	2018	T3	juil.	Nova Scotia	Nouvelle-Écosse	Other - Nova Scotia	Autres - Nouvelle-Écosse	25
2017	Q3	Aug	2017	T3	août	Manitoba	Manitoba	Brandon	Brandon	10
2024	Q3	Jul	2024	T3	juil.	New Brunswick	Nouveau-Brunswick	Miramichi	Miramichi	20
2018	Q3	Jul	2018	T3	juil.	Saskatchewan	Saskatchewan	Weyburn	Weyburn	--
2017	Q1	Feb	2017	T1	fév.	Ontario	Ontario	Toronto	Toronto	975
2020	Q1	Mar	2020	T1	mars	British Columbia	Colombie-Britannique	Terrace	Terrace	--
2023	Q4	Oct	2023	T4	oct.	Ontario	Ontario	Other - Ontario	Autres - Ontario	565
2025	Q3	Sep	2025	T3	sept.	Manitoba	Manitoba	Brandon	Brandon	15
2023	Q4	Oct	2023	T4	oct.	Ontario	Ontario	Guelph	Guelph	100
2021	Q1	Jan	2021	T1	janv.	Quebec	Québec	Sainte-Agathe-des-Monts	Sainte-Agathe-des-Monts	--
2024	Q2	Jun	2024	T2	juin	Ontario	Ontario	Sault Ste. Marie	Sault Ste. Marie	15
2024	Q2	May	2024	T2	mai	Ontario	Ontario	Chatham-Kent	Chatham-Kent	5
2019	Q4	Nov	2019	T4	nov.	Prince Edward Island	Île-du-Prince-Édouard	Summerside	Summerside	5
2017	Q3	Aug	2017	T3	août	Ontario	Ontario	Oshawa	Oshawa	50
2022	Q1	Mar	2022	T1	mars	British Columbia	Colombie-Britannique	Abbotsford - Mission	Abbotsford - Mission	25
